,close
0,0.86393
1,0.86397
2,0.86378
3,0.86385
4,0.86384
5,0.86399
6,0.86404
7,0.86393
8,0.86386
9,0.86391
10,0.86384
11,0.86389
12,0.86399
13,0.86385
14,0.86372
15,0.86356
16,0.86365
17,0.86373
18,0.86363
19,0.86387
20,0.8639
21,0.86393
22,0.8636
23,0.86387
24,0.8639
25,0.864
26,0.86382
27,0.86381
28,0.86288
29,0.86367
30,0.86366
31,0.86346
32,0.86357
33,0.86366
34,0.86357
35,0.86365
36,0.8637
37,0.86372
38,0.86387
39,0.86393
40,0.86397
41,0.86415
42,0.86426
43,0.86431
44,0.86432
45,0.86427
46,0.86444
47,0.86442
48,0.86435
49,0.86434
50,0.86416
51,0.86428
52,0.86426
53,0.86435
54,0.8642
55,0.86449
56,0.86443
57,0.8645
58,0.86461
59,0.86451
60,0.86437
61,0.86447
62,0.86452
63,0.86443
64,0.8644
65,0.86455
66,0.86457
67,0.8646
68,0.86454
69,0.86459
70,0.8647
71,0.86477
72,0.86474
73,0.86471
74,0.86467
75,0.86472
76,0.86481
77,0.8649
78,0.86464
79,0.8644
80,0.8645
81,0.86451
82,0.86424
83,0.86454
84,0.86469
85,0.86483
86,0.8645
87,0.86442
88,0.86302
89,0.86299
90,0.86332
91,0.86392
92,0.8636
93,0.86422
94,0.8647
95,0.86426
96,0.86412
97,0.86379
98,0.86357
99,0.86346
100,0.86318
101,0.86401
102,0.864
103,0.86442
104,0.86457
105,0.86482
106,0.86458
107,0.86484
108,0.86468
109,0.86483
110,0.86492
111,0.86464
112,0.86475
113,0.86465
114,0.86424
115,0.86386
116,0.8641
117,0.8639
118,0.86388
119,0.86383
120,0.86337
121,0.86358
122,0.86351
123,0.86333
124,0.86342
125,0.863
126,0.8627
127,0.8624
128,0.86238
129,0.86218
130,0.86285
131,0.86189
132,0.86173
133,0.86216
134,0.86187
135,0.86206
136,0.86277
137,0.86284
138,0.86288
139,0.86275
140,0.86287
141,0.86306
142,0.86317
143,0.86287
144,0.86284
145,0.86299
146,0.86278
147,0.86302
148,0.863
149,0.86274
150,0.86278
151,0.863
152,0.86305
153,0.86321
154,0.8632
